#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
100,Rodrigo Blankenship,K,FA,8,15,12,14,11,8,-,3,5,11,15,2,7,14,11,6,8,9.4,150,101
101,Pittsburgh Steelers,DST,PIT,8,13,7,BYE,8,18,2,18,7,12,17,14,3,6,2,9,4,9.3,148,102
102,James Conner,RB,ARI,2.7,19.1,22.9,-,13.8,16.7,12.6,13.5,3,5.8,11.4,-,-,1.8,-,15.1,8.7,11.3,147.1,103
103,Russell Gage,WR,TB,15.9,13.6,3.6,3,2.6,8.5,8.4,3.5,2.1,-,9.3,4.9,13.1,16.3,15.3,4.3,20.7,9.1,145.1,104
104,Sam Darnold,QB,SF,12.2,11.9,9.7,23.6,-,-,2.8,7.4,-,-,BYE,6.8,21,5.6,14.1,17,12.9,12.1,145,104
104,Indianapolis Colts,DST,IND,4,15,26,7,11,4,BYE,15,5,10,8,-3,12,12,10,0,9,9.1,145,104
104,Ryan Succop,K,FA,5,7,9,8,14,10,9,15,4,17,6,6,-,9,7,5,14,9.1,145,104
104,Justin Tucker,K,BAL,9,16,9,8,10,16,BYE,8,7,5,10,2,10,9,9,9,8,9.1,145,108
108,Andy Dalton,QB,CAR,-,0,-,-,2.4,13,3.6,-,-,-,19.8,13.3,18.6,15.3,17.2,27.6,13.6,13.1,144.4,109
109,Michael Gallup,WR,DAL,6.5,6.8,22.8,3.9,9.3,3.3,0,9.6,5.1,BYE,3.9,7.1,18.1,3.3,10.1,27.1,6.9,9,143.8,110
110,Myles Gaskin,RB,MIA,8.6,11.2,12,7.7,17.6,14.6,BYE,11.8,-,-,-,-,13.1,-,-,31.4,15.7,14.4,143.7,111
111,Jamison Crowder,WR,NYG,21,-,-,13.9,21.6,8.3,-,-,9.6,-,2.1,4.6,19.2,1.7,9.6,25.8,5.1,11.9,142.5,112
112,T.J. Hockenson,TE,MIN,14.1,8.2,7.3,9.9,-,8.7,14.4,10,12.4,2.3,8.8,11.4,11.9,13.3,0.8,4.3,4,8.9,141.8,113
113,Chase Edmonds,RB,TB,12,2.8,4.4,12.5,17.7,3.4,18,-,10.3,9.2,12.9,6.3,5.3,7.3,14.1,1.8,3.5,8.8,141.5,114
114,Mark Andrews,TE,BAL,20.3,3.4,3.7,19.2,14.6,3.1,BYE,4.7,3.7,9.6,18.1,-,-,10.3,15.1,10.6,4.7,10.1,141.1,115
115,Miami Dolphins,DST,MIA,2,2,12,3,12,15,BYE,23,8,6,5,14,14,10,9,5,1,8.8,141,115
115,Baltimore Ravens,DST,BAL,15,15,7,6,26,7,BYE,4,14,1,3,8,4,0,10,10,11,8.8,141,117
117,Logan Thomas,TE,WAS,11.7,4.6,5.1,1.3,0.9,11.7,14,BYE,4.3,8.6,1.8,11.4,20.3,7.3,16.6,9.8,11.2,8.8,140.6,118
118,Tua Tagovailoa,QB,MIA,-,-,-,-,-,0.4,BYE,5.7,21.4,14.7,7.3,-,16.1,28,19.7,8.9,18.2,14,140.5,119
119,Dak Prescott,QB,DAL,17.6,39.8,29.5,38.3,13.9,-,-,-,-,BYE,-,-,-,-,-,-,-,27.8,139.1,120
120,Cairo Santos,K,CHI,9,5,6,3,9,13,5,14,5,8,BYE,5,7,10,18,12,10,8.7,139,121
121,Austin Ekeler,RB,LAC,9.2,16.8,25.8,1.9,-,BYE,-,-,-,-,-,18.4,8.8,19.1,9.9,14.3,14.1,13.8,138.3,122
122,Jason Myers,K,SEA,9,5,4,9,3,BYE,12,8,12,12,9,12,4,11,10,10,8,8.6,138,123
123,T.Y. Hilton,WR,FA,7.3,4.3,6.7,4.4,9.9,1.6,-,1.9,-,6,5.1,16.1,21,23.1,9.1,7.5,12.2,9.1,136.2,124
124,Brandon McManus,K,JAC,2,8,6,18,-,24,5,7,11,8,9,5,6,2,-,14,11,9.1,136,125
125,Jeff Wilson Jr.,RB,MIA,0,0.3,20.4,2.4,2.7,-,31,-,-,-,-,2,6.9,8.9,12,26.9,22.3,11.3,135.8,126
126,Tim Patrick,WR,DEN,4.9,3.4,12.3,20.3,BYE,12.1,5.9,-,10.9,8.1,14.4,0,18.4,11.1,2.9,5.4,5.6,9,135.7,127
127,Wil Lutz,K,NO,10,6,13,5,15,BYE,11,14,8,10,6,8,3,3,3,10,10,8.4,135,128
128,DeVante Parker,WR,NE,6.7,13.8,9.4,16,12,5,-,6.8,9.4,4.1,15.1,15.9,5.5,0,-,-,15.1,9.6,134.8,129
129,Giovani Bernard,RB,FA,4.8,5,7,1.9,0.9,10.3,18.1,21.3,-,6.7,7.5,5.9,3.9,1.8,22.2,16.6,0.7,8.4,134.6,130
130,Emmanuel Sanders,WR,FA,9,2.3,13.6,12.3,18.2,-,-,-,11.8,1,8.6,0.9,6.4,12.3,9.6,11.5,16.8,9.6,134.3,131
131,Harrison Butker,K,KC,10,13,4,8,6,8,14,5,11,BYE,5,9,17,8,6,7,3,8.4,134,132
132,Graham Gano,K,NYG,4,7,13,9,20,8,3,5,13,10,BYE,15,4,1,6,8,7,8.3,133,133
133,Mike Gesicki,TE,NE,4.5,23,8,2,11.6,0,-,1.3,5.7,5,6.3,10.5,19.3,21,-,7.4,7.2,8.9,132.8,134
134,Ka'imi Fairbairn,K,HOU,2,12,3,13,13,6,8,BYE,11,1,10,10,10,1,8,7,17,8.3,132,135
135,Jerry Jeudy,WR,DEN,7.6,8.2,8,13.1,BYE,4.2,3,9.3,22,8.8,5.2,0,1,5.2,2.4,9.1,24.5,8.2,131.6,136
136,Mike Williams,WR,LAC,8.9,2.4,2.2,-,25.4,BYE,0.9,18.5,10.6,4.8,15.2,4.1,6.3,0,3.2,7.4,19.8,8.6,129.7,137
137,Sterling Shepard,WR,NYG,7.7,4.5,-,-,-,-,14.9,11.4,8.7,7.7,BYE,10.3,4.7,5,6.8,18.2,29.6,10.8,129.5,138
138,Joey Slye,K,WAS,12,5,15,7,11,11,7,5,8,6,10,10,-,9,10,2,1,8.1,129,139
139,Nick Mullens,QB,MIN,-,1.6,17.7,8,-,-,BYE,17.5,12.6,12.2,-,9.1,22.6,13.4,13.5,-,-,12.8,128.3,140
